random_state,method,n,mean_A,abs_diff,rel_diff,var,var_reduce,p_value,sig
0,1_DIM,1000000,1524.0865045893238,17.97822271935911,0.011796064505015398,35.90916969926781,0.0,0.002698516625318489,1.0
0,2_CUPED,1000000,1524.0865045893238,16.03936006615237,0.010523917125343415,32.300088960703334,-0.10050582535853125,0.004769939056007961,1.0
0,3_STATE,1000000,1524.0865045893238,0.24112616997568595,0.00015821029137756137,,,,
1,1_DIM,1000000,1523.208878810986,7.103547919459061,0.0046635415656217,35.56018976851502,0.0,0.2335664265858103,0.0
1,2_CUPED,1000000,1523.208878810986,4.835506957173834,0.003174552764521975,31.939930630526398,-0.10180651907527227,0.392215066381824,0.0
1,3_STATE,1000000,1523.208878810986,0.12294663964614863,8.071554818018166e-05,,,,
2,1_DIM,1000000,1522.1299813847922,13.763949892103255,0.009042558822460871,35.64460575854571,0.0,0.021144654672950337,1.0
2,2_CUPED,1000000,1522.1299813847922,12.57910979167093,0.008264149544066401,32.03378821420449,-0.1013005325069567,0.026248284271040093,1.0
2,3_STATE,1000000,1522.1299813847922,0.01559929044361215,1.0248330060104553e-05,,,,
3,1_DIM,1000000,1517.775080082565,13.342860111263917,0.008791065478910145,35.494820771895306,0.0,0.025118350530750958,1.0
3,2_CUPED,1000000,1517.775080082565,14.207085520170324,0.00936046829771212,31.903762389889636,-0.10117133440631598,0.01189434118182222,1.0
3,3_STATE,1000000,1517.775080082565,0.2577451049176122,0.00016981772088627995,,,,
4,1_DIM,1000000,1523.0964411395466,18.88592263925625,0.012399689296842048,35.975788203950415,0.0,0.001639894888663007,1.0
4,2_CUPED,1000000,1523.0964411395466,17.7835542487382,0.011675921345750727,32.371072378748885,-0.10019838355635269,0.0017741285967228938,1.0
4,3_STATE,1000000,1523.0964411395466,0.171141225797478,0.00011236401134877183,,,,
5,1_DIM,1000000,1524.303698458271,5.4434345327938445,0.0035710957982320103,35.76696447902484,0.0,0.36272173992734513,0.0
5,2_CUPED,1000000,1524.303698458271,6.526585982836252,0.004281683492231534,32.17834267445847,-0.10033341819294961,0.2499178682737802,0.0
5,3_STATE,1000000,1524.303698458271,-0.05572212902079134,-3.655579204928157e-05,,,,
6,1_DIM,1000000,1523.1303694123942,13.11070265224862,0.00860773504063646,35.779451703117445,0.0,0.028391429697123143,1.0
6,2_CUPED,1000000,1523.1303694123942,11.655525020797427,0.007652348909104867,32.18415470996955,-0.1004849661470536,0.03992602210753484,1.0
6,3_STATE,1000000,1523.1303694123942,0.16140137686740155,0.00010596688248667008,,,,
7,1_DIM,1000000,1524.656633309009,14.842657111830476,0.00973508184568548,35.825872065468886,0.0,0.013146389124324441,1.0
7,2_CUPED,1000000,1524.656633309009,15.751889476681697,0.010331434063612662,32.23098426868156,-0.10034334377731147,0.0055275211921366136,1.0
7,3_STATE,1000000,1524.656633309009,-0.05271042693667146,-3.457199856355355e-05,,,,
8,1_DIM,1000000,1522.48092080784,12.435487269581245,0.008167910086507277,35.7197693671268,0.0,0.037461989134404836,1.0
8,2_CUPED,1000000,1522.48092080784,13.502140247015973,0.008868511954719034,32.1159862068851,-0.10089043753900317,0.01719301292467109,1.0
8,3_STATE,1000000,1522.48092080784,0.23083123888048676,0.00015161519315329478,,,,
9,1_DIM,1000000,1524.810623237907,9.537828528853879,0.006255090555836027,35.80671551746718,0.0,0.1109532985602147,0.0
9,2_CUPED,1000000,1524.810623237907,9.454116488737611,0.006200190597217883,32.18074987938738,-0.1012649606555226,0.095600134103675,0.0
9,3_STATE,1000000,1524.810623237907,0.23102027160397995,0.00015150751711934737,,,,
